Parameter,Type,Mandatory,Description,Options
SYSTEM.no_t_rev,LOGICAL,No,Disable the usage of magnetic symmetry operations that consist in a rotation + time reversal.,
SYSTEM.force_symmorphic,LOGICAL,No,Force the symmetry group to be symmorphic.,
SYSTEM.use_all_frac,LOGICAL,No,Force real-space FFT grids to be commensurate with fractionary translations.,
SYSTEM.occupations,CHARACTER,No,"Available options are 'smearing', 'tetrahedra', 'fixed'.",smearing;tetrahedra;tetrahedra_opt;fixed
SYSTEM.starting_spin_angle,LOGICAL,No,Initial wavefunctions are radial functions multiplied by spin-angle functions.,
SYSTEM.degauss_cond,REAL,No,Value of the gaussian spreading for brillouin-zone integration in the conduction manifold.,
SYSTEM.nelec_cond,REAL,No,Number of electrons placed in the conduction manifold.,
SYSTEM.degauss,REAL,No,Value of the gaussian spreading for brillouin-zone integration in metals.,
SYSTEM.smearing,CHARACTER,No,"Spreading function options: 'gaussian', 'methfessel-paxton', 'marzari-vanderbilt', 'fermi-dirac'.",gaussian;gauss;methfessel-paxton;m-p;mp;mazari-vanderbilt;cold;m-v;mv;fermi-dirac;f-d;fd
SYSTEM.nspin,INTEGER,No,"Spin polarization: 1 (non-polarized), 2 (LSDA), or 4 (noncollinear).",1;2;4
SYSTEM.sic_gamma,REAL,No,Strength of the gammaDFT potential.,
SYSTEM.pol_type,CHARACTER,No,Type of polaron in gammaDFT ('e' or 'h').,e;h
SYSTEM.sic_energy,LOGICAL,No,Enable the calculation of the total energy in gammaDFT.,
SYSTEM.sci_vb,REAL,No,Valence band shift (in eV) through self-consistent scissor operator.,
SYSTEM.sci_cb,REAL,No,Conduction band band shift (in eV) through self-consistent scissor operator.,
SYSTEM.noncolin,LOGICAL,No,If .TRUE. the program will perform a noncollinear calculation.,
SYSTEM.ecfixed,REAL,No,Value (in Rydberg) of the constant-cutoff for modified functional.,
SYSTEM.qcutz,REAL,No,Height of the energy step for reciprocal vectors.,
SYSTEM.q2sigma,REAL,No,Width of the energy step for reciprocal vectors.,
SYSTEM.input_dft,CHARACTER,No,"Exchange-correlation functional (e.g. 'PBE', 'BLYP').",
SYSTEM.ace,LOGICAL,No,Use Adaptively Compressed Exchange operator.,
SYSTEM.exx_fraction,REAL,No,Fraction of EXX for hybrid functional calculations.,
SYSTEM.screening_parameter,REAL,No,Screening parameter for HSE like hybrid functionals.,
SYSTEM.exxdiv_treatment,CHARACTER,No,Specific for EXX. Approach used for treating Coulomb potential divergencies.,gygi-baldereschi;vcut-spherical;vcut-ws;none
SYSTEM.x_gamma_extrapolation,LOGICAL,No,Specific for EXX. Extrapolate the G=0 term of the potential.,
SYSTEM.ecutvcut,REAL,No,Reciprocal space cutoff for correcting Coulomb potential divergencies.,
SYSTEM.nqx1,INTEGER,No,Three-dimensional mesh for q (k1-k2) sampling of the Fock operator.,
SYSTEM.nqx2,INTEGER,No,Three-dimensional mesh for q (k1-k2) sampling of the Fock operator.,
SYSTEM.nqx3,INTEGER,No,Three-dimensional mesh for q (k1-k2) sampling of the Fock operator.,
SYSTEM.localization_thr,REAL,No,Overlap threshold over which the exchange integral over a pair of localized orbitals is included.,
SYSTEM.Hubbard_occ(i),REAL,No,"Number of electrons in the Hubbard manifold. It is possible to specify up to three Hubbard manifolds per Hubbard atom. Ex: Hubbard_occ(Fe), 2.5, 0.5, 1.0",
SYSTEM.Hubbard_beta(i),REAL,No,"Perturbation (on atom i, in eV) used to compute J0 with linear-response method. Ex: Hubbard_beta(Si), 0.5",
SYSTEM.starting_ns_eigenvalue(m:ispin:ityp),REAL,No,"In the first iteration of an DFT+U run it overwrites the m-th eigenvalue of the ns occupation matrix for the ispin component of atomic species ityp. Ex: starting_ns_eigenvalue(1:1:Fe), 1.0",
SYSTEM.edir,INTEGER,No,The direction of the electric field or dipole correction.,
SYSTEM.emaxpos,REAL,No,Position of the maximum of the saw-like potential along crystal axis edir.,
SYSTEM.eopreg,REAL,No,Zone in the unit cell where the saw-like potential decreases.,
SYSTEM.eamp,REAL,No,Amplitude of the electric field.,
SYSTEM.angle1(i),REAL,No,"The angle expressed in degrees between the initial magnetization and the z-axis. For noncollinear calculations only; i runs over the atom types. Ex: angle1(Fe), 90.0",
SYSTEM.angle2(i),REAL,No,"The angle expressed in degrees between the projection of the initial magnetization on x-y plane and the x-axis. For noncollinear calculations only. Ex: angle2(Fe), 45.0",
SYSTEM.lforcet,LOGICAL,No,Assumes previous density points in z direction and rotates it in the direction described by angle1 and angle2.,
SYSTEM.constrained_magnetization,CHARACTER,No,Used to perform constrained calculations in magnetic systems.,none;total;atomic;total_direction;atomic_direction
SYSTEM.fixed_magnetization,REAL,No,"Total magnetization vector to be kept fixed. Ex: fixed_magnetization, 0.0, 1.5, 2.0",
SYSTEM.lambda,REAL,No,Parameter used for constrained_magnetization calculations.,
SYSTEM.lspinorb,LOGICAL,No,If .TRUE. the noncollinear code can use a pseudopotential with spin-orbit.,
SYSTEM.assume_isolated,CHARACTER,No,Used to perform calculation assuming the system to be isolated.,none;makov-payne;m-p;mp;martyna-tuckerman;m-t;mt;esm;2D
SYSTEM.esm_bc,CHARACTER,No,Determines the boundary conditions used for either side of the slab.,pbc;bc1;bc2;bc3
SYSTEM.esm_w,REAL,No,Position offset of the start of the effective screening region.,
SYSTEM.esm_efield,REAL,No,Magnitude of the electric field to be applied between semi-infinite ESM electrodes.,
SYSTEM.esm_nfit,INTEGER,No,Number of z-grid points for the polynomial fit along the cell edge.,
SYSTEM.lgcscf,LOGICAL,No,Perform a constant bias potential calculation with Grand-Canonical SCF.,
SYSTEM.gcscf_mu,REAL,No,The target Fermi energy (eV) of GC-SCF.,
SYSTEM.gcscf_conv_thr,REAL,No,Convergence threshold of Fermi energy (eV) for GC-SCF.,
SYSTEM.gcscf_beta,REAL,No,Mixing factor for GC-SCF.,
SYSTEM.vdw_corr,CHARACTER,No,Type of the van der Waals correction.,grimme-d2;Grimme-D2;DFT-D;dft-d;grimme-d3;Grimme-D3;DFT-D3;dft-d3;TS;ts;ts-vdw;ts-vdW;tkatchenko-scheffler;MBD;mbd;many-body-dispersion;mbd-vdw;XDM;xdm
SYSTEM.london_s6,REAL,No,Global scaling parameter for DFT-D.,
SYSTEM.london_c6(i),REAL,No,"Atomic C6 coefficient of each atom type. Ex: london_c6(Si), 1.75",
SYSTEM.london_rvdw(i),REAL,No,"Atomic vdw radii of each atom type. Ex: london_rvdw(Si), 1.716",
SYSTEM.london_rcut,REAL,No,Cutoff radius (a.u.) for dispersion interactions.,
SYSTEM.dftd3_version,INTEGER,No,Version of Grimme implementation of Grimme-D3.,2;3;4;5;6
SYSTEM.dftd3_threebody,LOGICAL,No,Turn three-body terms in Grimme-D3 on.,
SYSTEM.ts_vdw_econv_thr,REAL,No,Controls the convergence of the vdW energy.,
SYSTEM.ts_vdw_isolated,LOGICAL,No,Compute the TS vdW energy or MBD energy for an isolated system.,
SYSTEM.xdm_a1,REAL,No,Damping function parameter a1.,
SYSTEM.xdm_a2,REAL,No,Damping function parameter a2.,
SYSTEM.zgate,REAL,No,Specifies the position of the charged plate which represents the counter charge.,
SYSTEM.relaxz,LOGICAL,No,Allows the relaxation of the system towards the charged plate.,
SYSTEM.block,LOGICAL,No,Adds a potential barrier to the total potential seen by the electrons.,
SYSTEM.block_1,REAL,No,Lower beginning of the potential barrier.,
SYSTEM.block_2,REAL,No,Upper beginning of the potential barrier.,
SYSTEM.block_height,REAL,No,Height of the potential barrier in Rydberg.,
ELECTRONS.electron_maxstep,INTEGER,No,Maximum number of iterations in a scf step.,
ELECTRONS.exx_maxstep,INTEGER,No,Maximum number of outer iterations in a scf calculation with exact exchange.,
ELECTRONS.scf_must_converge,LOGICAL,No,If .FALSE. do not stop molecular dynamics or ionic relaxation when electron_maxstep is reached.,
ELECTRONS.conv_thr,REAL,No,Convergence threshold for selfconsistency.,
ELECTRONS.adaptive_thr,LOGICAL,No,Turns on the use of an adaptive conv_thr for the inner scf loops when using EXX.,
ELECTRONS.conv_thr_init,REAL,No,Convergence threshold used for the first scf cycle.,
ELECTRONS.conv_thr_multi,REAL,No,Convergence threshold multiplier for each scf cycle.,
ELECTRONS.mixing_mode,CHARACTER,No,"Available options are 'plain', 'TF', or 'local-TF'",plain;TF;local-TF
ELECTRONS.mixing_beta,REAL,No,Mixing factor for self-consistency.,
ELECTRONS.mixing_ndim,INTEGER,No,Number of iterations used in mixing scheme.,
ELECTRONS.mixing_fixed_ns,INTEGER,No,For DFT+U: number of iterations with fixed ns.,
ELECTRONS.diagonalization,CHARACTER,No,"Available options are 'david', 'cg', 'ppcg', 'paro', or 'rmm-davidson'.",david;cg;ppcg;paro;ParO;rmm-davidson;rmm-paro
ELECTRONS.diago_thr_init,REAL,No,Convergence threshold (ethr) for iterative diagonalization.,
ELECTRONS.diago_cg_maxiter,INTEGER,No,For conjugate gradient diagonalization: max number of iterations.,
ELECTRONS.diago_david_ndim,INTEGER,No,For Davidson diagonalization: dimension of workspace.,
ELECTRONS.diago_rmm_ndim,INTEGER,No,For RMM-DIIS diagonalization: dimension of workspace.,
ELECTRONS.diago_rmm_conv,LOGICAL,No,"If .TRUE., RMM-DIIS is performed up to converge.",
ELECTRONS.diago_gs_nblock,INTEGER,No,For RMM-DIIS diagonalization: blocking size of Gram-Schmidt orthogonalization.,
ELECTRONS.diago_full_acc,LOGICAL,No,If .TRUE. all the empty states are diagonalized at the same level of accuracy.,
ELECTRONS.efield,REAL,No,Amplitude of the finite electric field.,
ELECTRONS.efield_cart(i),REAL,No,"Finite electric field in cartesian axis. Ex: efield_cart, 0.0, 0.0, 0.01",
ELECTRONS.startingwfc,CHARACTER,No,Start from superposition of atomic orbitals or random.,atomic;atomic+random;random;file
ELECTRONS.tqr,LOGICAL,No,Use a real-space algorithm for augmentation charges of ultrasoft pseudopotentials.,
ELECTRONS.real_space,LOGICAL,No,Exploit real-space localization to compute matrix elements for nonlocal projectors.,
IONS.ion_dynamics,CHARACTER,No,"Specify the type of ionic dynamics (e.g. 'bfgs', 'verlet', 'langevin').",bfgs;damp;fire;verlet;velocity-verlet;langevin;langevin-smc;beeman
IONS.pot_extrapolation,CHARACTER,No,Used to extrapolate the potential from preceding ionic steps.,
IONS.wfc_extrapolation,CHARACTER,No,Used to extrapolate the wavefunctions from preceding ionic steps.,none;first-order;second-order
IONS.remove_rigid_rot,LOGICAL,No,Set to true the total torque of the internal forces is set to zero.,
IONS.ion_temperature,CHARACTER,No,Ionic temperature control method.,rescaling;rescale-v;rescale-T;reduce-T;nose;berendsen;andersen;svr;initial;not_controlled
IONS.tempw,REAL,No,Starting temperature (Kelvin) in MD runs.,
IONS.fnosep,REAL,No,Oscillation frequency of the Nose thermorstat.,
IONS.nhpcl,INTEGER,No,Number of thermostats in the Nose-Hoover chain.,
IONS.nhptyp,INTEGER,No,Type of the massive Nose-Hoover chain thermostat.,
IONS.nhgrp(i),INTEGER,No,"Specifies which thermostat group to use for given atomic type. Ex: nhgrp(Si), 2",
IONS.fnhscl(i),INTEGER,No,"Scaling factors to be used together with nhptyp=3 and nhgrp(i). Ex: fnhscl(Si), 0.85",
IONS.ndega,INTEGER,No,Number of degrees of freedom used for temperature calculation.,
IONS.tolp,REAL,No,Tolerance for velocity rescaling.,
IONS.delta_t,REAL,No,Temperature scaling factor or reduction value.,
IONS.nraise,INTEGER,No,Steps frequency for temperature rescaling/reduction.,
IONS.refold_pos,LOGICAL,No,Ions are refolded at each step into the supercell.,
IONS.upscale,REAL,No,Max reduction factor for conv_thr during structural optimization.,
IONS.bfgs_ndim,INTEGER,No,Number of old forces and displacements vectors used in the PULAY mixing.,
IONS.tgdiis_step,LOGICAL,No,Selects whether to use to full gdiis step or the BFGS trus radius.,
IONS.trust_radius_max,REAL,No,Maximum ionic displacement in the structural relaxation.,
IONS.trust_radius_min,REAL,No,Minimum ionic displacement in the structural relaxation.,
IONS.trust_radius_ini,REAL,No,Initial ionic displacement in the structural relaxation.,
IONS.w_1,REAL,No,Parameters used in line search based on the Wolfe conditions.,
IONS.w_2,REAL,No,Parameters used in line search based on the Wolfe conditions.,
IONS.fire_alpha_init,REAL,No,Initial value of the alpha mixing factor in the FIRE minimization scheme.,
IONS.fire_falpha,REAL,No,Scaling of the alpha mixing parameter for steps with P > 0.,
IONS.fire_nmin,INTEGER,No,Minimum number of steps with P > 0 before increase of dt.,
IONS.fire_f_inc,REAL,No,Factor for increasing dt.,
IONS.fire_f_dec,REAL,No,Factor for decreasing dt.,
IONS.fire_dtmax,REAL,No,Determines the maximum value of dt in the FIRE minimization.,
CELL.cell_dynamics,CHARACTER,No,Specify the type of dynamics for the cell.,none;sd;damp-pr;damp-w;bfgs;pr;w
CELL.press,REAL,No,Target pressure [KBar] in a variable-cell md or relaxation run.,
CELL.wmass,REAL,No,Fictitious cell mass for variable-cell simulations.,
CELL.cell_factor,REAL,No,Used in the construction of the pseudopotential tables.,
CELL.press_conv_thr,REAL,No,Convergence threshold on the pressure for variable cell relaxation.,
CELL.cell_dofree,CHARACTER,No,Select which of the cell parameters should be moved.,all;ibrav;a;b;c;fixa;fixb;fixc;x;y;z;xy;xz;yz;xyz;shape;volume;2Dxy;2Dshape;epitaxial_ab;epitaxial_ac;epitaxial_bc
FCP.fcp_mu,REAL,No,The target Fermi energy (eV) for FCP.,
FCP.fcp_dynamics,CHARACTER,No,Specify the type of dynamics for the Fictitious Charge Particle.,bfgs;newton;damp;lm;velocity-verlet;verlet
FCP.fcp_conv_thr,REAL,No,Convergence threshold on force (eV) for FCP relaxation.,
FCP.fcp_ndiis,INTEGER,No,Size of DIIS for FCP relaxation.,
FCP.fcp_mass,REAL,No,Mass of the FCP.,
FCP.fcp_velocity,REAL,No,Initial velocity of the FCP.,
FCP.fcp_temperature,CHARACTER,No,FCP temperature control method.,rescaling;rescale-v;rescale-T;reduce-T;berendsen;andersen;initial;not_controlled
FCP.fcp_tempw,REAL,No,Starting temperature in FCP dynamics runs.,
FCP.fcp_tolp,REAL,No,Tolerance for velocity rescaling in FCP.,
FCP.fcp_delta_t,REAL,No,Temperature scaling factor or reduction value for FCP.,
FCP.fcp_nraise,INTEGER,No,Steps frequency for temperature rescaling/reduction for FCP.,
FCP.freeze_all_atoms,LOGICAL,No,"If .TRUE., freeze all atoms to perform relaxation or dynamics only with FCP.",
RISM.nsolv,INTEGER,No,The number of solvents in the unit cell.,
RISM.closure,CHARACTER,No,"Specify the type of closure equation (e.g. 'kh', 'hnc').",
RISM.tempv,REAL,No,Temperature (Kelvin) of solvents.,
RISM.ecutsolv,REAL,No,Kinetic energy cutoff (Ry) for solvent's correlation functions.,
RISM.solute_lj(i),CHARACTER,No,"Specify the Lennard-Jones potential of solute. Ex: solute_lj(O), none",none;uff;clayff;opls-aa
RISM.solute_epsilon(i),REAL,No,"The Lennard-Jones parameter epsilon of solute. Ex: solute_epsilon(O), 0.155",
RISM.solute_sigma(i),REAL,No,"The Lennard-Jones parameter sigma of solute. Ex: solute_sigma(O), 3.166",
RISM.smear1d,REAL,No,Coulomb smearing radius (a.u.) for 1D-RISM.,
RISM.smear3d,REAL,No,Coulomb smearing radius (a.u.) for 3D-RISM.,
RISM.rism1d_maxstep,INTEGER,No,Maximum number of iterations in a 1D-RISM step.,
RISM.rism3d_maxstep,INTEGER,No,Maximum number of iterations in a 3D-RISM step.,
RISM.rism1d_conv_thr,REAL,No,Convergence threshold for 1D-RISM.,
RISM.rism3d_conv_thr,REAL,No,Convergence threshold for 3D-RISM.,
RISM.mdiis1d_size,INTEGER,No,Size of Modified DIIS (MDIIS) for 1D-RISM.,
RISM.mdiis3d_size,INTEGER,No,Size of Modified DIIS (MDIIS) for 3D-RISM.,
RISM.mdiis1d_step,REAL,No,Step of Modified DIIS (MDIIS) for 1D-RISM.,
RISM.mdiis3d_step,REAL,No,Step of Modified DIIS (MDIIS) for 3D-RISM.,
RISM.rism1d_bond_width,REAL,No,Gaussian width of bonds to smear intra-molecular correlation for 1D-RISM.,
RISM.rism1d_dielectric,REAL,No,Dielectric constant for 1D-RISM.,
RISM.rism1d_molesize,REAL,No,Size of solvent molecules for 1D-RISM.,
RISM.rism1d_nproc,INTEGER,No,Number of processes to calculate 1D-RISM.,
RISM.rism3d_conv_level,REAL,No,Convergence level of 3D-RISM.,
RISM.rism3d_planar_average,LOGICAL,No,Planar averages of solvent densities and potentials.,
RISM.laue_nfit,INTEGER,No,The number of z-grid points for the polynomial fit along the cell edge.,
RISM.laue_expand_right,REAL,No,Ending position offset of the solvent region on right-hand side.,
RISM.laue_expand_left,REAL,No,Ending position offset of the solvent region on left-hand side.,
RISM.laue_starting_right,REAL,No,Starting position of the solvent region on right-hand side.,
RISM.laue_starting_left,REAL,No,Starting position of the solvent region on left-hand side.,
RISM.laue_buffer_right,REAL,No,Buffering length of the solvent region on right-hand side.,
RISM.laue_buffer_left,REAL,No,Buffering length of the solvent region on left-hand side.,
RISM.laue_both_hands,LOGICAL,No,Set different densities to the solvent regions of right and left side.,
RISM.laue_wall,CHARACTER,No,"Set the repulsive wall with (1/r)^12 term of Lennard-Jones potential.,none;auto;manual
RISM.laue_wall_z,REAL,No,"Set the edge position of the repulsive wall.",
RISM.laue_wall_rho,REAL,No,The density of the repulsive wall.,
RISM.laue_wall_epsilon,REAL,No,The Lennard-Jones parameter epsilon of the repulsive wall.,
RISM.laue_wall_sigma,REAL,No,The Lennard-Jones parameter sigma of the repulsive wall.,
RISM.laue_wall_lj6,LOGICAL,No,If .TRUE. the attractive term -(1/r)^6 of Lennard-Jones potential is added.,
ATOMIC_POSITIONS.fix_atom(i),LOGICAL,No,"Component x, y and z of the force for the atom i are multiplied by these. Ex: fix_atom(1), True, True, True",
K_POINTS.kpoints_mode,CHARACTER,Yes,"Options are mesh, explicit, path",mesh;explicit;path
K_POINTS.kpoints_mesh,INTEGER,No,"Used and required for kpoints_mode=mesh. Grid size along axis 1, 2 and 3 (for Monkhorst-Pack grids). Ex: kpoints_mesh, 4, 4, 4.",
K_POINTS.kpoints_offset,INTEGER,No,"Used and required for kpoints_mode=mesh. Ex: kpoints_offset, 0, 0, 0",
K_POINTS.kpoints_explicit,CHARACTER,No,"Used and required for kpoints_mode=explicit. A string or combination of strings with format: x-coordinate y-coordinate z-coordinate weight. Ex: kpoints, '2.0 2.0 2.0 1.0; 2.0 2.0 2.0 1.0'",
K_POINTS.kpoints_distance,REAL,No,"Used and required for kpoints_mode=path. Density of points along the path. Let AiiDA calculate the standard high-symmetry path. Ex: kpoints_distance, 0.015",
